order_id,customer,unit_price,quantity,orderdate,employee_id
0,Bautista Group,20.5,12,2018-10-27,81
0,Bautista Group,24.0,11,2018-10-27,81
0,Bautista Group,22.25,14,2018-10-27,81
0,Bautista Group,10.5,11,2018-10-27,81
0,Bautista Group,13.75,9,2018-10-27,81
0,Bautista Group,18.0,11,2018-10-27,81
1,Pineda PLC,18.25,4,2003-12-06,0
1,Pineda PLC,18.25,11,2003-12-06,0
1,Pineda PLC,7.5,8,2003-12-06,0
1,Pineda PLC,23.25,5,2003-12-06,0
1,Pineda PLC,12.5,11,2003-12-06,0
1,Pineda PLC,23.0,8,2003-12-06,0
2,Smith-Thomas,12.75,11,2008-01-15,10
2,Smith-Thomas,24.5,5,2008-01-15,10
2,Smith-Thomas,5.25,15,2008-01-15,10
3,"Norton, Lin and Kelly",9.25,9,2006-07-17,21
4,Bennett-Brown,15.25,6,2015-09-06,66
4,Bennett-Brown,14.5,11,2015-09-06,66
4,Bennett-Brown,24.0,17,2015-09-06,66
4,Bennett-Brown,13.25,7,2015-09-06,66
4,Bennett-Brown,13.75,15,2015-09-06,66
4,Bennett-Brown,14.5,7,2015-09-06,66
4,Bennett-Brown,21.0,7,2015-09-06,66
4,Bennett-Brown,3.75,12,2015-09-06,66
5,Miller-Cantu,17.25,14,2010-05-17,3
5,Miller-Cantu,4.25,6,2010-05-17,3
5,Miller-Cantu,3.75,8,2010-05-17,3
5,Miller-Cantu,9.75,5,2010-05-17,3
5,Miller-Cantu,15.75,12,2010-05-17,3
6,Hanson-Gilbert,20.0,11,2009-12-24,3
6,Hanson-Gilbert,20.0,13,2009-12-24,3
6,Hanson-Gilbert,19.75,9,2009-12-24,3
6,Hanson-Gilbert,23.0,9,2009-12-24,3
6,Hanson-Gilbert,17.25,14,2009-12-24,3
7,"Choi, Medina and Morse",10.75,11,2006-05-15,88
7,"Choi, Medina and Morse",19.0,12,2006-05-15,88
7,"Choi, Medina and Morse",13.25,8,2006-05-15,88
7,"Choi, Medina and Morse",10.25,5,2006-05-15,88
7,"Choi, Medina and Morse",17.0,10,2006-05-15,88
7,"Choi, Medina and Morse",5.25,11,2006-05-15,88
7,"Choi, Medina and Morse",6.25,9,2006-05-15,88
7,"Choi, Medina and Morse",19.0,9,2006-05-15,88
7,"Choi, Medina and Morse",5.25,15,2006-05-15,88
7,"Choi, Medina and Morse",10.75,8,2006-05-15,88
8,Watson-Spears,17.25,8,2018-03-05,85
8,Watson-Spears,19.5,9,2018-03-05,85
8,Watson-Spears,23.5,2,2018-03-05,85
8,Watson-Spears,11.0,11,2018-03-05,85
9,Velasquez-Alvarez,21.75,11,2006-05-04,22
9,Velasquez-Alvarez,9.5,11,2006-05-04,22
9,Velasquez-Alvarez,19.5,7,2006-05-04,22
10,Wilson-Moreno,21.75,12,2007-07-02,25
10,Wilson-Moreno,17.5,9,2007-07-02,25
10,Wilson-Moreno,10.0,6,2007-07-02,25
10,Wilson-Moreno,14.25,6,2007-07-02,25
10,Wilson-Moreno,11.5,10,2007-07-02,25
10,Wilson-Moreno,3.25,8,2007-07-02,25
10,Wilson-Moreno,15.5,8,2007-07-02,25
10,Wilson-Moreno,21.75,13,2007-07-02,25
10,Wilson-Moreno,24.0,5,2007-07-02,25
11,"Aguilar, Powers and Miller",13.75,4,2005-02-24,93
11,"Aguilar, Powers and Miller",24.75,6,2005-02-24,93
11,"Aguilar, Powers and Miller",11.25,10,2005-02-24,93
11,"Aguilar, Powers and Miller",18.5,14,2005-02-24,93
11,"Aguilar, Powers and Miller",6.5,14,2005-02-24,93
12,Guzman-Morgan,3.75,9,2014-08-23,51
12,Guzman-Morgan,3.75,14,2014-08-23,51
12,Guzman-Morgan,3.75,10,2014-08-23,51
12,Guzman-Morgan,14.0,14,2014-08-23,51
12,Guzman-Morgan,11.5,6,2014-08-23,51
13,Hawkins Group,16.25,16,2014-11-08,85
13,Hawkins Group,24.25,11,2014-11-08,85
13,Hawkins Group,24.25,9,2014-11-08,85
14,Hawkins Group,3.0,10,2017-05-04,22
14,Hawkins Group,12.25,8,2017-05-04,22
14,Hawkins Group,12.5,13,2017-05-04,22
14,Hawkins Group,7.75,10,2017-05-04,22
14,Hawkins Group,21.25,6,2017-05-04,22
14,Hawkins Group,19.25,14,2017-05-04,22
14,Hawkins Group,15.75,15,2017-05-04,22
15,Taylor Inc,9.0,8,2015-01-16,11
15,Taylor Inc,15.5,10,2015-01-16,11
15,Taylor Inc,23.5,8,2015-01-16,11
16,"Mason, Cardenas and Ward",23.0,6,2002-09-10,19
16,"Mason, Cardenas and Ward",18.0,9,2002-09-10,19
16,"Mason, Cardenas and Ward",3.5,7,2002-09-10,19
16,"Mason, Cardenas and Ward",21.25,7,2002-09-10,19
16,"Mason, Cardenas and Ward",10.75,10,2002-09-10,19
16,"Mason, Cardenas and Ward",23.5,7,2002-09-10,19
16,"Mason, Cardenas and Ward",13.25,12,2002-09-10,19
16,"Mason, Cardenas and Ward",5.25,15,2002-09-10,19
16,"Mason, Cardenas and Ward",24.25,10,2002-09-10,19
